Date,Campaign_Platform,Campaign_Type,Ad_Spend_USD,Clicks,Impressions,Conversions,Revenue_USD,Target_Audience,SEO_Keyword,SEO_Search_Volume,SEO_Difficulty
2024-02-12,Google Search,App Install,87.3,4181,49306,10,0.0,Gen Z,top rated productivity app,29359,1.1
2024-05-31,Google Search,Brand Awareness,433.01,4415,3340,8,835.9,Students,free habit tracker,37806,4.3
2024-03-14,Google Search,Performance/ROAS,27.79,3435,32561,14,766.66,Working Professionals,best budget planning app,42314,1.1
2024-09-01,Facebook,Performance/ROAS,77.48,4776,795,16,927.94,Working Professionals,mobile finance solutions,30771,3.8
2024-03-14,Google Search,Performance/ROAS,417.21,4324,18528,11,355.72,Millennials,best budget planning app,17615,1.6
2024-12-04,Google Search,App Install,193.85,2829,46607,12,0.0,Gen Z,free habit tracker,3080,1.4
2024-04-10,Google Search,Performance/ROAS,107.35,1038,6035,8,391.71,Gen Z,top rated productivity app,43998,4.9
2024-11-28,Instagram,Performance/ROAS,309.95,1485,34774,6,835.92,Gen Z,top rated productivity app,30918,2.4
2024-05-05,Instagram,App Install,71.16,4690,14553,14,0.0,Millennials,free habit tracker,7560,3.7
2024-02-20,Google Search,Performance/ROAS,161.43,3086,16301,10,378.26,Gen Z,top rated productivity app,15632,1.7
2024-05-26,Google Search,Brand Awareness,159.68,3496,48935,7,309.86,Gen Z,top rated productivity app,45491,1.0
2024-03-31,Google Search,Performance/ROAS,225.93,140,28462,11,491.01,Working Professionals,free habit tracker,43119,1.6
2024-05-27,Google Search,App Install,340.35,533,43932,11,0.0,Students,easy goal setting,11247,0.6
2024-08-02,Google Search,Performance/ROAS,445.66,4693,955,9,135.61,Working Professionals,mobile finance solutions,10992,3.2
2024-12-02,TikTok,App Install,380.33,3634,45871,16,0.0,Gen Z,top rated productivity app,22602,1.5
2024-07-07,Facebook,Re-engagement,110.25,1025,12112,11,778.8,Students,mobile finance solutions,45084,1.0
2024-09-30,Instagram,Performance/ROAS,123.71,2348,33101,9,210.88,Students,easy goal setting,26609,3.6
2024-12-13,Instagram,Performance/ROAS,226.63,3778,7908,15,162.54,Working Professionals,mobile finance solutions,49393,2.8
2024-01-23,Google Search,Performance/ROAS,96.34,1233,29755,6,547.5,Millennials,easy goal setting,27666,1.6
2024-12-23,Facebook,Re-engagement,448.16,3790,5367,12,624.5,Working Professionals,top rated productivity app,24020,1.3
2024-02-14,Facebook,Performance/ROAS,287.39,1346,46844,10,214.79,Gen Z,free habit tracker,4400,4.6
2024-07-19,Google Search,Brand Awareness,79.62,684,1514,11,579.82,Working Professionals,mobile finance solutions,2465,2.4
2024-04-03,Facebook,App Install,398.59,3824,49126,8,0.0,Gen Z,free habit tracker,6146,3.0
2024-02-12,Facebook,Performance/ROAS,428.01,4795,40326,11,820.4,Working Professionals,easy goal setting,48127,3.9
2024-04-25,Instagram,App Install,90.55,4368,13728,11,0.0,Millennials,easy goal setting,49946,0.9
2024-08-20,Google Search,Performance/ROAS,477.44,4564,26261,18,57.46,Students,mobile finance solutions,14372,4.3
2024-12-10,Instagram,Performance/ROAS,488.5,1987,20304,10,247.98,Students,top rated productivity app,18096,2.6
2024-11-16,Google Search,Performance/ROAS,446.8,2411,36646,12,589.1,Millennials,best budget planning app,36772,1.9
2024-06-06,Facebook,App Install,279.89,1079,4094,16,0.0,Millennials,secure investment tracker,5934,0.9
2024-07-30,Google Search,App Install,78.75,148,44537,14,0.0,Students,easy goal setting,28476,2.7
2024-06-03,Google Search,Performance/ROAS,403.24,719,15701,11,640.68,Gen Z,secure investment tracker,35870,2.3
2024-06-03,Google Search,Brand Awareness,236.91,168,4963,4,34.968,Millennials,top rated productivity app,26947,2.8
2024-03-19,Facebook,Performance/ROAS,342.17,3878,9944,9,481.89,Working Professionals,top rated productivity app,13701,4.9
2024-03-22,Google Search,Performance/ROAS,121.32,4456,29152,7,245.11,Gen Z,top rated productivity app,8574,4.4
2024-01-08,Facebook,App Install,207.77,4074,31712,12,0.0,Working Professionals,top rated productivity app,19796,0.8
2024-04-20,Facebook,App Install,453.96,4810,47151,9,0.0,Students,best budget planning app,15449,0.6
2024-10-21,Facebook,Brand Awareness,396.28,3230,20883,17,891.6,Gen Z,free habit tracker,28284,2.5
2024-09-05,Google Search,Performance/ROAS,136.88,4201,31429,13,720.14,Millennials,best budget planning app,8544,0.9
2024-06-17,Facebook,Performance/ROAS,465.69,4000,11905,9,326.31,Students,mobile finance solutions,11221,2.4
2024-05-11,Facebook,Performance/ROAS,370.06,1495,40551,8,718.32,Working Professionals,top rated productivity app,45475,4.8
2024-09-12,Google Search,Brand Awareness,410.65,4627,14347,10,150.47,Students,best budget planning app,43389,2.7
2024-04-28,TikTok,Performance/ROAS,291.33,1376,3081,11,60.21,Gen Z,easy goal setting,18846,2.2
2024-05-03,Google Search,Performance/ROAS,193.44,856,19364,9,808.58,Working Professionals,free habit tracker,35437,3.4
2024-07-09,Google Search,Performance/ROAS,127.13,592,13512,10,334.22,Gen Z,secure investment tracker,49314,1.3
2024-10-09,TikTok,Re-engagement,340.85,1022,31369,11,575.53,Working Professionals,top rated productivity app,32111,3.4
2024-05-29,Instagram,Performance/ROAS,77.61,4952,11904,7,439.35,Students,easy goal setting,15471,2.4
2024-07-12,Instagram,Re-engagement,30.49,1389,18574,8,863.77,Students,easy goal setting,43941,1.9
2024-05-02,Google Search,Re-engagement,124.97,1389,11310,17,843.81,Millennials,top rated productivity app,17636,4.3
2024-08-25,Facebook,Performance/ROAS,203.33,1398,12194,10,581.97,Millennials,top rated productivity app,44495,3.5
2024-03-08,Google Search,App Install,161.1,3023,23073,18,0.0,Gen Z,mobile finance solutions,33204,3.3
2024-10-17,Facebook,Performance/ROAS,328.77,1546,21063,5,854.43,Students,secure investment tracker,33326,1.1
2024-08-28,Google Search,Performance/ROAS,374.98,3863,22773,12,744.52,Students,free habit tracker,11587,4.6
2024-04-06,Google Search,App Install,246.22,1865,8483,11,0.0,Gen Z,best budget planning app,24373,4.8
2024-06-16,Google Search,App Install,393.7,142,45081,10,0.0,Gen Z,easy goal setting,28320,0.7
2024-06-08,Facebook,Performance/ROAS,173.94,1243,24073,13,650.83,Millennials,easy goal setting,31080,1.7
2024-12-28,Facebook,App Install,298.72,4204,7770,8,0.0,Working Professionals,free habit tracker,1698,2.3
2024-06-17,Google Search,Re-engagement,27.41,1942,12388,13,324.61,Gen Z,best budget planning app,15773,1.1
2024-02-04,Google Search,App Install,425.43,83,24909,14,0.0,Working Professionals,secure investment tracker,36435,4.1
2024-10-06,Facebook,Performance/ROAS,471.88,2808,5945,7,60.84,Gen Z,easy goal setting,44597,3.8
2024-11-22,Google Search,Performance/ROAS,34.41,247,25740,13,797.03,Working Professionals,easy goal setting,2258,2.9
2024-02-23,Google Search,Performance/ROAS,459.42,3202,11391,9,550.29,Millennials,best budget planning app,30029,1.4
2024-03-15,Google Search,Performance/ROAS,198.37,1765,32201,9,465.08,Millennials,top rated productivity app,15727,2.8
2024-06-13,Google Search,Performance/ROAS,282.78,869,39063,6,675.69,Working Professionals,easy goal setting,41303,1.2
2024-05-24,Google Search,Performance/ROAS,24.75,1253,42292,9,335.79,Working Professionals,free habit tracker,5108,2.5
2024-08-20,Google Search,App Install,467.88,4198,46964,13,0.0,Millennials,secure investment tracker,16556,2.4
2024-01-18,Facebook,Performance/ROAS,240.55,2258,20381,9,311.41,Millennials,secure investment tracker,24447,3.3
2024-09-15,Google Search,Re-engagement,32.79,3067,21129,11,725.14,Millennials,top rated productivity app,19770,2.2
2024-09-01,Instagram,Brand Awareness,181.64,1097,45254,14,177.81,Millennials,best budget planning app,2722,3.6
2024-05-15,Instagram,Brand Awareness,300.3,2225,26648,18,7.87,Students,free habit tracker,22351,1.0
2024-06-17,Google Search,Performance/ROAS,384.01,3769,11388,10,570.72,Millennials,easy goal setting,32908,3.0
2024-08-21,Facebook,App Install,460.48,1061,48143,10,0.0,Gen Z,top rated productivity app,16484,2.3
2024-03-28,TikTok,Performance/ROAS,212.58,579,16984,11,548.91,Millennials,easy goal setting,25034,3.3
2024-06-01,Facebook,Re-engagement,53.8,1286,37673,14,23.28,Working Professionals,secure investment tracker,20087,3.4
2024-07-15,TikTok,Re-engagement,113.12,3458,30512,12,812.35,Working Professionals,best budget planning app,38871,2.8
2024-06-04,Facebook,Brand Awareness,464.02,3756,47406,9,609.5,Gen Z,secure investment tracker,47298,4.8
2024-02-05,Instagram,App Install,37.5,2730,33167,7,0.0,Gen Z,secure investment tracker,20159,4.7
2024-03-30,Facebook,Re-engagement,339.42,136,19585,9,452.92,Students,top rated productivity app,32220,3.2
2024-02-01,Facebook,Re-engagement,154.7,1033,8172,11,30.61,Working Professionals,mobile finance solutions,28936,3.7
2024-07-18,Google Search,App Install,200.32,3392,6132,12,0.0,Millennials,free habit tracker,35166,2.2
2024-07-15,Facebook,App Install,24.97,2240,39250,9,0.0,Gen Z,top rated productivity app,29143,1.5
2024-04-29,Instagram,App Install,117.55,3220,33405,5,0.0,Millennials,best budget planning app,7974,4.1
2024-07-03,Instagram,Re-engagement,225.72,958,17202,6,50.3,Gen Z,mobile finance solutions,41428,3.3
2024-02-10,TikTok,Re-engagement,371.02,3259,25398,10,406.97,Working Professionals,top rated productivity app,7647,1.3
2024-04-03,Google Search,Performance/ROAS,21.35,1006,2477,10,579.75,Millennials,best budget planning app,26533,2.8
2024-03-01,Google Search,Performance/ROAS,326.74,2262,42479,14,708.68,Working Professionals,mobile finance solutions,29540,4.8
2024-10-21,Google Search,Performance/ROAS,482.15,2686,1829,5,797.78,Working Professionals,mobile finance solutions,34078,4.0
2024-08-27,Facebook,Performance/ROAS,105.05,1357,25995,10,441.75,Working Professionals,top rated productivity app,32596,4.2
2024-01-01,Instagram,App Install,262.33,1783,36180,10,0.0,Gen Z,best budget planning app,4720,5.0
2024-03-29,Instagram,App Install,251.07,4135,10205,7,0.0,Working Professionals,easy goal setting,19535,4.3
2024-06-24,Google Search,Re-engagement,135.67,1654,4386,10,608.55,Millennials,best budget planning app,33034,3.9
2024-02-11,TikTok,App Install,157.56,565,35582,5,0.0,Gen Z,free habit tracker,11361,1.9
2024-03-01,Google Search,App Install,458.84,4567,36933,11,0.0,Millennials,mobile finance solutions,29181,0.9
2024-08-16,Facebook,App Install,72.51,4145,2234,15,0.0,Gen Z,mobile finance solutions,29746,1.1
2024-05-31,Facebook,Performance/ROAS,211.62,4894,46159,7,66.05,Gen Z,mobile finance solutions,33362,1.3
2024-03-20,TikTok,Performance/ROAS,432.59,4958,29673,14,280.98,Millennials,mobile finance solutions,34782,3.8
2024-02-13,Google Search,App Install,144.51,763,45667,14,0.0,Working Professionals,top rated productivity app,1860,2.0
2024-07-31,Google Search,Performance/ROAS,272.4,3108,48247,11,276.74,Millennials,mobile finance solutions,8706,2.3
2024-06-12,Instagram,Performance/ROAS,436.74,2142,37649,10,792.73,Students,easy goal setting,25252,1.9
2024-01-28,Google Search,Re-engagement,265.02,4815,34430,8,755.34,Students,mobile finance solutions,3550,1.5
2024-10-31,Google Search,Brand Awareness,391.83,2118,3170,7,824.53,Gen Z,secure investment tracker,22469,2.1
2024-07-15,Google Search,Re-engagement,185.21,3855,43262,16,161.17,Gen Z,top rated productivity app,28970,4.6
2024-03-30,TikTok,Performance/ROAS,107.53,64,15198,9,242.01,Millennials,best budget planning app,49968,1.5
2024-03-10,Facebook,App Install,54.28,4293,2744,8,0.0,Working Professionals,best budget planning app,35844,4.2
2024-11-30,Google Search,Re-engagement,398.94,1778,19559,10,413.42,Students,top rated productivity app,47496,4.6
2024-10-29,Facebook,App Install,288.52,573,28586,8,0.0,Gen Z,top rated productivity app,44767,1.1
2024-06-09,Google Search,Brand Awareness,15.05,4721,27986,7,253.82,Students,free habit tracker,18668,1.4
2024-09-02,Google Search,App Install,59.42,3280,9112,8,0.0,Working Professionals,top rated productivity app,36616,3.1
2024-03-03,Facebook,Re-engagement,345.14,3115,18892,13,342.1,Gen Z,top rated productivity app,11287,2.3
2024-12-25,Google Search,Performance/ROAS,317.35,3296,18994,8,451.35,Students,easy goal setting,49496,1.7
2024-11-29,Google Search,App Install,151.58,1661,5724,10,0.0,Gen Z,best budget planning app,7484,1.2
2024-09-09,TikTok,Performance/ROAS,398.11,1917,1241,6,781.28,Working Professionals,mobile finance solutions,36060,1.8
2024-07-21,Google Search,Re-engagement,163.77,4393,37951,9,52.58,Students,free habit tracker,16795,1.0
2024-08-26,Facebook,Performance/ROAS,37.09,1966,17183,5,607.66,Working Professionals,easy goal setting,21060,3.8
2024-12-08,Google Search,App Install,418.27,1331,3679,11,0.0,Gen Z,easy goal setting,38905,3.0
2024-01-07,Facebook,Performance/ROAS,325.28,4919,9735,10,143.09,Students,secure investment tracker,15388,4.0
2024-01-27,Google Search,Performance/ROAS,153.04,3874,39544,8,492.42,Students,free habit tracker,21821,3.5
2024-11-25,Facebook,Re-engagement,462.83,1050,1972,11,223.26,Gen Z,easy goal setting,24182,4.9
2024-08-19,Google Search,Performance/ROAS,253.65,1270,4122,12,903.08,Students,best budget planning app,34589,2.4
2024-01-09,Facebook,Brand Awareness,294.58,601,46178,12,108.57,Students,free habit tracker,39172,1.4
2024-06-15,TikTok,Performance/ROAS,140.08,2252,23208,12,995.3,Students,top rated productivity app,19047,3.6
2024-03-29,Google Search,Performance/ROAS,483.4,3730,5419,8,121.34,Working Professionals,top rated productivity app,31851,4.1
2024-10-09,Google Search,Re-engagement,334.99,1726,24660,6,585.5,Working Professionals,secure investment tracker,10279,2.9
2024-03-21,Google Search,Performance/ROAS,314.59,2873,4045,19,417.1,Students,mobile finance solutions,46875,1.8
2024-05-01,Facebook,Performance/ROAS,189.89,757,15141,8,952.65,Working Professionals,easy goal setting,6442,1.3
2024-08-30,Facebook,App Install,33.83,4269,17270,17,0.0,Working Professionals,easy goal setting,12262,2.0
2024-06-25,Google Search,Performance/ROAS,331.17,4469,7953,10,846.36,Working Professionals,best budget planning app,11463,3.0
2024-06-05,Google Search,App Install,218.59,4035,48994,12,0.0,Working Professionals,secure investment tracker,8129,4.0
2024-06-08,TikTok,Performance/ROAS,228.45,2091,31838,8,183.02,Students,secure investment tracker,46655,2.8
2024-01-03,Google Search,Performance/ROAS,114.34,3580,24962,17,777.36,Working Professionals,secure investment tracker,9829,4.9
2024-12-02,Facebook,Performance/ROAS,181.51,3871,34875,7,643.38,Students,mobile finance solutions,9403,2.9
2024-07-27,Google Search,Performance/ROAS,424.81,4592,1595,12,75.6,Gen Z,free habit tracker,29846,2.9
2024-12-09,Facebook,Performance/ROAS,8.22,388,8335,12,418.1,Gen Z,top rated productivity app,28573,2.7
2024-04-16,Google Search,App Install,416.75,1410,9280,14,0.0,Millennials,top rated productivity app,39024,1.8
2024-04-05,Google Search,Performance/ROAS,370.69,4152,11721,11,255.21,Students,free habit tracker,41131,0.7
2024-11-25,Facebook,Performance/ROAS,373.37,2146,6087,8,541.4,Millennials,mobile finance solutions,21256,3.1
2024-05-17,Google Search,Performance/ROAS,33.59,4241,46178,8,395.68,Millennials,easy goal setting,16613,4.3
2024-03-30,Instagram,Re-engagement,22.01,3906,12713,8,55.64,Working Professionals,free habit tracker,4283,0.9
2024-04-22,Instagram,Performance/ROAS,388.96,4214,41151,15,557.77,Gen Z,easy goal setting,5327,1.0
2024-10-14,Google Search,App Install,89.02,465,9385,9,0.0,Students,secure investment tracker,41514,3.7
2024-02-15,Facebook,Performance/ROAS,411.35,1238,3223,5,494.05,Gen Z,free habit tracker,37881,1.9
2024-04-14,Facebook,Performance/ROAS,299.06,75,16106,11,547.64,Students,best budget planning app,37338,4.4
2024-02-13,Google Search,App Install,449.87,1657,21515,12,0.0,Working Professionals,easy goal setting,6726,4.7
2024-09-14,Facebook,Performance/ROAS,17.87,100,7468,14,748.08,Working Professionals,free habit tracker,49819,1.2
2024-04-28,Facebook,Performance/ROAS,362.88,4184,12047,16,722.69,Millennials,free habit tracker,23575,3.5
2024-09-26,Facebook,Performance/ROAS,200.82,3851,42971,7,283.24,Working Professionals,easy goal setting,18234,4.5
2024-11-02,Google Search,App Install,469.5,2565,49349,11,0.0,Working Professionals,easy goal setting,27928,4.6
2024-09-07,Facebook,Brand Awareness,295.35,281,23592,7,146.27,Millennials,secure investment tracker,16355,3.1
2024-01-27,TikTok,Re-engagement,278.94,4169,7415,14,963.52,Working Professionals,mobile finance solutions,2479,3.5
2024-04-13,Facebook,Re-engagement,13.48,3792,20541,5,381.66,Gen Z,easy goal setting,27185,2.2
2024-02-11,Facebook,Re-engagement,404.19,4459,42022,12,714.42,Gen Z,mobile finance solutions,22097,2.6
2024-08-02,Google Search,Performance/ROAS,42.59,4899,2473,8,931.53,Working Professionals,easy goal setting,32073,3.5
2024-10-06,Facebook,App Install,493.98,2577,12429,10,0.0,Gen Z,secure investment tracker,13828,1.1
2024-02-24,Google Search,Performance/ROAS,280.31,4689,23555,12,768.37,Millennials,top rated productivity app,14170,0.8
2024-03-11,Google Search,App Install,491.03,1299,2881,11,0.0,Gen Z,free habit tracker,38743,3.6
2024-02-15,Google Search,Performance/ROAS,81.83,1805,11902,7,809.35,Students,easy goal setting,3664,0.7
2024-07-01,Google Search,Re-engagement,283.79,746,20149,3,68.676,Working Professionals,secure investment tracker,21176,1.5
2024-05-23,Facebook,Re-engagement,391.23,2100,40704,12,609.18,Gen Z,best budget planning app,23643,4.0
2024-07-29,Google Search,Performance/ROAS,444.54,2319,5556,14,333.84,Working Professionals,top rated productivity app,25753,2.2
2024-09-12,TikTok,Re-engagement,486.05,3359,25416,9,745.06,Gen Z,mobile finance solutions,23598,4.2
2024-09-04,Facebook,Re-engagement,313.26,373,39733,9,799.03,Millennials,easy goal setting,16539,1.2
2024-11-10,Google Search,Performance/ROAS,274.72,4967,49885,12,768.48,Gen Z,free habit tracker,28120,3.5
2024-07-09,Google Search,Re-engagement,230.29,1103,24506,14,749.93,Students,easy goal setting,23610,4.0
2024-09-10,Instagram,Performance/ROAS,324.59,1377,12390,14,275.78,Working Professionals,free habit tracker,26994,4.7
2024-04-17,TikTok,App Install,304.08,3818,48356,10,0.0,Gen Z,best budget planning app,29678,3.0
2024-02-10,TikTok,App Install,106.01,1745,11653,8,0.0,Students,easy goal setting,13046,1.9
2024-03-20,Google Search,App Install,325.25,3368,11491,10,0.0,Students,secure investment tracker,13671,1.7
2024-01-08,TikTok,Brand Awareness,231.38,3221,34682,5,854.99,Millennials,free habit tracker,16475,1.7
2024-01-27,Instagram,Performance/ROAS,103.42,4951,46269,12,437.75,Working Professionals,easy goal setting,33492,3.1
2024-02-15,Google Search,Brand Awareness,355.05,4608,10260,15,636.91,Gen Z,secure investment tracker,7486,2.7
2024-10-01,TikTok,App Install,205.12,4540,2317,4,0.0,Students,easy goal setting,40599,0.5
2024-11-01,Google Search,Performance/ROAS,82.62,1191,16920,9,635.74,Working Professionals,free habit tracker,20994,2.0
2024-10-24,Facebook,App Install,65.05,3216,10463,14,0.0,Students,secure investment tracker,46446,2.9
2024-03-09,Google Search,App Install,141.05,3715,23992,13,0.0,Working Professionals,best budget planning app,10843,1.5
2024-12-14,Facebook,Performance/ROAS,329.26,3923,21143,5,215.87,Gen Z,top rated productivity app,26107,3.1
2024-01-07,Facebook,Performance/ROAS,294.9,4460,5159,11,512.25,Students,secure investment tracker,41172,4.3
2024-06-19,Google Search,Performance/ROAS,9.45,93,14689,3,13.317,Working Professionals,free habit tracker,18255,4.1
2024-10-24,Google Search,Brand Awareness,459.13,2972,4960,8,24.74,Working Professionals,secure investment tracker,21343,1.3
2024-05-13,TikTok,Performance/ROAS,128.71,3762,18804,12,703.86,Gen Z,free habit tracker,26938,1.6
2024-10-07,Instagram,Performance/ROAS,20.13,4865,35658,8,218.5,Gen Z,free habit tracker,33449,4.6
2024-10-05,Facebook,Re-engagement,347.6,2760,41706,12,394.65,Students,free habit tracker,33853,1.9
2024-02-22,TikTok,Brand Awareness,303.53,4897,1112,11,807.65,Gen Z,top rated productivity app,16949,4.2
2024-03-06,Google Search,Re-engagement,311.09,3263,21359,10,758.11,Gen Z,secure investment tracker,49944,1.8
2024-05-05,TikTok,Performance/ROAS,104.03,1002,33530,18,873.59,Millennials,easy goal setting,29576,4.0
2024-11-27,Google Search,Performance/ROAS,261.56,1649,47599,13,351.06,Working Professionals,mobile finance solutions,43741,2.6
2024-12-23,Instagram,Performance/ROAS,309.32,2712,19220,7,898.01,Millennials,free habit tracker,14085,1.1
2024-08-16,Instagram,Re-engagement,219.77,551,666,10,279.21,Working Professionals,mobile finance solutions,29578,1.1
2024-07-26,Facebook,App Install,478.67,3890,10009,12,0.0,Students,mobile finance solutions,11133,2.5
2024-07-21,Facebook,Performance/ROAS,302.84,4086,41161,12,109.75,Gen Z,mobile finance solutions,33590,1.5
2024-05-18,Google Search,Performance/ROAS,360.11,2448,19664,11,258.17,Gen Z,top rated productivity app,11507,4.3
2024-11-11,Instagram,App Install,205.51,4925,14905,5,0.0,Students,mobile finance solutions,12678,1.2
2024-10-28,Google Search,Brand Awareness,32.88,1928,26104,7,511.44,Gen Z,secure investment tracker,14078,1.5
2024-10-09,Facebook,Performance/ROAS,290.29,1399,14902,12,875.5,Students,free habit tracker,27383,4.5
2024-04-05,TikTok,Re-engagement,15.62,3730,11772,14,377.95,Millennials,easy goal setting,3859,3.9
2024-05-07,Google Search,Performance/ROAS,46.96,1105,28707,17,609.9,Working Professionals,easy goal setting,11099,0.7
2024-03-30,Google Search,Re-engagement,236.01,485,6783,13,595.04,Working Professionals,best budget planning app,29060,0.7
2024-09-02,TikTok,Re-engagement,225.57,4873,42015,8,763.33,Millennials,secure investment tracker,29764,3.7
2024-10-05,Facebook,App Install,221.07,1525,2302,9,0.0,Millennials,secure investment tracker,29603,1.8
2024-03-11,Google Search,Re-engagement,258.43,3404,47974,7,560.17,Millennials,secure investment tracker,16961,5.0
2024-08-14,Google Search,Performance/ROAS,13.36,2916,42544,11,604.92,Students,easy goal setting,42351,1.6
2024-05-15,Google Search,App Install,233.87,309,29593,6,0.0,Students,top rated productivity app,15721,4.4
2024-07-05,Google Search,Performance/ROAS,215.71,2461,28789,13,423.42,Millennials,secure investment tracker,44487,3.6
2024-02-14,Instagram,Re-engagement,223.09,1942,48935,12,732.75,Working Professionals,top rated productivity app,13171,1.2
2024-07-11,Facebook,Performance/ROAS,303.03,1154,9449,4,49.283,Working Professionals,best budget planning app,31992,2.1
2024-07-28,Facebook,Performance/ROAS,281.88,3508,10953,10,637.05,Students,free habit tracker,7348,2.4
2024-04-01,TikTok,Performance/ROAS,251.22,1068,9954,8,982.35,Working Professionals,secure investment tracker,23927,2.3
2024-03-30,Google Search,Performance/ROAS,442.68,2825,39432,9,175.52,Students,free habit tracker,49216,4.0
2024-03-08,Google Search,Brand Awareness,148.67,2315,9535,12,598.31,Working Professionals,free habit tracker,39409,3.7
2024-10-17,Instagram,Brand Awareness,478.05,2825,19550,10,284.26,Working Professionals,mobile finance solutions,15427,1.7
2024-10-14,Google Search,Performance/ROAS,250.1,997,25507,13,454.02,Gen Z,easy goal setting,35125,4.9
2024-11-07,Facebook,App Install,495.04,3467,7895,8,0.0,Gen Z,best budget planning app,8606,3.8
2024-03-13,Google Search,Re-engagement,405.47,582,9729,6,435.21,Gen Z,mobile finance solutions,18155,2.1
2024-12-12,Facebook,Performance/ROAS,194.55,713,7715,10,112.09,Working Professionals,top rated productivity app,32576,1.4
2024-03-17,Google Search,Performance/ROAS,438.44,2176,12171,12,457.17,Millennials,easy goal setting,20821,0.6
2024-05-15,Google Search,Re-engagement,362.35,1891,43439,6,968.2,Students,free habit tracker,49431,2.5
2024-10-04,Google Search,Performance/ROAS,49.76,1703,12140,9,140.9,Gen Z,easy goal setting,20819,2.7
2024-05-08,Google Search,App Install,105.09,4524,27298,6,0.0,Working Professionals,best budget planning app,31297,1.8
2024-02-22,Facebook,Performance/ROAS,384.09,578,28618,6,319.14,Students,secure investment tracker,37372,2.0
2024-07-26,Facebook,Performance/ROAS,111.33,3030,9748,11,316.54,Working Professionals,best budget planning app,8923,5.0
2024-02-07,Facebook,App Install,266.44,1928,47187,5,0.0,Gen Z,mobile finance solutions,12714,1.2
2024-11-27,Instagram,Brand Awareness,308.21,4681,25643,8,783.14,Students,top rated productivity app,4813,0.8
2024-02-17,Facebook,App Install,295.35,3086,2696,9,0.0,Millennials,mobile finance solutions,40135,3.0
2024-01-23,Instagram,Performance/ROAS,121.65,3796,921,10,220.4,Working Professionals,easy goal setting,49056,3.9
2024-03-01,Facebook,Brand Awareness,321.05,4289,28342,10,181.78,Working Professionals,secure investment tracker,9229,3.3
2024-10-13,Instagram,Performance/ROAS,281.48,617,46391,9,365.11,Students,free habit tracker,31730,3.8
2024-01-16,Facebook,Performance/ROAS,247.06,4550,1364,10,473.62,Millennials,secure investment tracker,8183,0.7
2024-05-20,Facebook,Performance/ROAS,149.51,3351,41494,11,329.58,Working Professionals,top rated productivity app,10939,2.1
2024-08-27,Instagram,App Install,64.18,1873,41733,12,0.0,Gen Z,best budget planning app,12419,1.0
2024-01-12,Facebook,Re-engagement,75.52,1719,24701,9,421.96,Working Professionals,easy goal setting,45945,1.1
2024-12-14,Facebook,App Install,171.05,4114,22134,10,0.0,Students,secure investment tracker,13965,3.3
2024-12-07,Facebook,Performance/ROAS,282.77,2216,9549,5,816.69,Millennials,secure investment tracker,18880,0.8
2024-11-09,Google Search,Re-engagement,211.16,2182,7102,10,658.22,Gen Z,free habit tracker,23219,3.4
2024-03-24,Google Search,Performance/ROAS,356.14,4303,44487,11,249.28,Millennials,best budget planning app,35417,3.9
2024-11-27,Google Search,Performance/ROAS,176.87,330,25880,7,671.16,Gen Z,secure investment tracker,34307,3.0
2024-09-09,Google Search,Re-engagement,400.98,4251,41939,8,115.11,Millennials,mobile finance solutions,44941,4.4
2024-02-20,TikTok,App Install,488.37,4264,22456,6,0.0,Students,best budget planning app,37395,4.4
2024-04-26,Instagram,Performance/ROAS,268.96,2619,5978,13,601.58,Students,free habit tracker,10480,3.1
2024-03-21,TikTok,Performance/ROAS,131.56,3412,21969,12,7.48,Students,top rated productivity app,37051,4.4
2024-09-24,Facebook,Performance/ROAS,45.95,160,18893,8,812.14,Gen Z,best budget planning app,38538,2.1
2024-09-09,Google Search,Re-engagement,263.21,527,40676,11,697.61,Students,easy goal setting,48623,0.5
2024-04-06,Google Search,Performance/ROAS,159.94,1469,7824,9,336.74,Working Professionals,free habit tracker,9243,3.9
2024-08-29,Facebook,Performance/ROAS,400.03,3458,9478,8,803.92,Gen Z,mobile finance solutions,44373,2.6
2024-11-01,Google Search,Brand Awareness,104.29,795,20877,5,6.25,Millennials,secure investment tracker,47716,2.0
2024-06-10,Facebook,Re-engagement,296.03,2225,10820,10,166.85,Millennials,best budget planning app,12520,2.9
2024-07-10,Facebook,Performance/ROAS,480.84,2938,27606,8,121.31,Gen Z,top rated productivity app,25220,2.1
2024-12-03,Facebook,App Install,141.1,2891,20643,3,0.0,Students,easy goal setting,2872,0.7
2024-08-23,Facebook,Performance/ROAS,452.32,4003,39781,8,293.39,Gen Z,best budget planning app,32473,4.6
2024-06-09,Google Search,Performance/ROAS,448.63,370,29772,9,959.25,Millennials,best budget planning app,40881,3.6
2024-08-21,Google Search,Performance/ROAS,164.87,3611,25626,6,145.83,Working Professionals,top rated productivity app,23885,2.7
2024-04-16,TikTok,Performance/ROAS,300.13,2379,9144,12,35.14,Students,best budget planning app,3428,2.3
2024-04-24,Instagram,Performance/ROAS,31.17,2370,30598,8,976.29,Millennials,secure investment tracker,27869,0.5
2024-10-08,TikTok,Performance/ROAS,203.1,1759,49327,7,290.7,Millennials,mobile finance solutions,17102,0.6
2024-10-09,Google Search,Re-engagement,252.67,221,4199,9,370.16,Millennials,secure investment tracker,40521,3.0
